10000	2	156.363
10000	3	103.965
10000	4	83.637
10000	5	95.129
10000	6	59.852
10000	7	68.518
10000	8	81.332
10000	9	83.957
10000	10	80.271
10000	11	62.708
10000	12	91.792
10000	13	86.312
10000	14	73.758
10000	15	364.955
10000	16	74.189
10000	17	127.239
10000	18	105.438
10000	19	201.228
10000	20	87.935
10000	21	556.845
10000	22	274.626
10000	23	194.405
10000	24	462.989
10000	25	549.982
10000	26	170.17
10000	27	384.812
10000	28	569.599
10000	29	187.011
10000	30	70.242
10000	31	496.753
10000	32	353.574
