1000000	2	4144.88
1000000	3	1748.98
1000000	4	1231.27
1000000	5	849.806
1000000	6	711.736
1000000	7	590.188
1000000	8	519.926
1000000	9	601.269
1000000	10	417.414
1000000	11	383.33
1000000	12	366.268
1000000	13	330.61
1000000	14	341.521
1000000	15	554.01
1000000	16	425.429
1000000	17	282.621
1000000	18	298.45
1000000	19	412.454
1000000	20	491.092
1000000	21	297.99
1000000	22	525.137
1000000	23	431.19
1000000	24	391.145
1000000	25	494.639
1000000	26	428.324
1000000	27	394.822
1000000	28	523.884
1000000	29	598.755
1000000	30	343.565
1000000	31	539.323
1000000	32	488.267
