100000	2	355.076
100000	3	643.849
100000	4	243.728
100000	5	295.405
100000	6	213.301
100000	7	193.634
100000	8	112.571
100000	9	132.719
100000	10	144.832
100000	11	95.569
100000	12	42.109
100000	13	76.604
100000	14	242.825
100000	15	545.845
100000	16	66.024
100000	17	126.588
100000	18	44.534
100000	19	241.393
100000	20	278.934
100000	21	320.822
100000	22	151.535
100000	23	127.5
100000	24	199.094
100000	25	336.883
100000	26	229.171
100000	27	343.285
100000	28	601.018
100000	29	328.537
100000	30	282.1
100000	31	346.55
100000	32	272.562
